title,author,publisher,isbn,description,image,link,pub_review,detail,category_d1,category_d2,category_d3
"중학영문법 3800제 1학년 (2022,새 교과서에 맞춘 12차 개정판)",마더텅 편집부,마더텅,9791162728659,"1등은 1등인 이유가 있다!2007년부터 2021년까지 15년간 총 434만부 판매!!1. 최신 개정 13종 교과서 반영2. 전국 중학교 중간, 기말고사에서 나온 문법 문제를 철저히 분석3. 단답형, 선택형, 문장완성형, 서술형 3000제+중간, 기말고사대비문제 800제4. 한 번에 한 가지 문제해결능력을 완전히 익히고 다음 단계로 넘어가는 PSS(PROBLEM SOLVING SKILL-유형별 문제해결능력) 개념 도입5. 내신만점부터 특목고 진학을 위한 문법 사항 완벽 대비6. PRACTICE 및 중간·기말고사대비문제에 대한 상세하고 친절한 해설 제공7. 필수 문법사항 암기표, 열공 진도표 제공 8. 무료제공: * 영단어·표현 암기장* 단어장 MP3 파일* 모든 영어 예문에 대한 우리말 해석자료 홈페이지 제공 9. EBS 중학프리미엄 최고 인기 교재, 본사 직강 마더텅 중학영문법 3800제 동영상 강의 제공",https://bookthumb-phinf.pstatic.net/cover/209/415/20941539.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20941539,"1등은 1등인 이유가 있다!교보문고, YES24, 인터파크 영문법 부문 판매 1위! 2007년부터 2021년까지 15년간 총 434만부 판매!!1. 최신 개정 13종 교과서 반영2. 전국 중학교 중간, 기말고사에서 나온 문법 문제를 철저히 분석3. 단답형, 선택형, 문장완성형, 서술형 3000제+중간, 기말고사대비문제 800제4. 한 번에 한 가지 문제해결능력을 완전히 익히고 다음 단계로 넘어가는 PSS(Problem Solving Skill-유형별 문제해결능력) 개념 도입5. 내신만점부터 특목고 진학을 위한 문법 사항 완벽 대비6. Practice 및 중간·기말고사대비문제에 대한 상세하고 친절한 해설 제공7. 필수 문법사항 암기표, 열공 진도표 제공 8. 무료제공: * 영단어·표현 암기장* 단어장 MP3 파일* 모든 영어 예문에 대한 우리말 해석자료 홈페이지 제공 9. EBS 중학프리미엄 최고 인기 교재, 본사 직강 마더텅 중학영문법 3800제 동영상 강의 제공",,학습/참고서,,
"중학영문법 3800제 2학년 (2022,새 교과서에 맞춘 12차 개정판)",마더텅 편집부,마더텅,9791162728673,"1등은 1등인 이유가 있다!2007년부터 2021년까지 15년간 총 434만부 판매!!1. 최신 개정 13종 교과서 반영2. 전국 중학교 중간, 기말고사에서 나온 문법 문제를 철저히 분석3. 단답형, 선택형, 문장완성형, 서술형 3000제+중간, 기말고사대비문제 800제4. 한 번에 한 가지 문제해결능력을 완전히 익히고 다음 단계로 넘어가는 PSS(PROBLEM SOLVING SKILL-유형별 문제해결능력) 개념 도입5. 내신만점부터 특목고 진학을 위한 문법 사항 완벽 대비6. PRACTICE 및 중간·기말고사대비문제에 대한 상세하고 친절한 해설 제공7. 필수 문법사항 암기표, 열공 진도표 제공 8. 무료제공: * 영단어·표현 암기장* 단어장 MP3 파일* 모든 영어 예문에 대한 우리말 해석자료 홈페이지 제공 9. EBS 중학프리미엄 최고 인기 교재, 본사 직강 마더텅 중학영문법 3800제 동영상 강의 제공",https://bookthumb-phinf.pstatic.net/cover/209/415/20941552.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20941552,"1등은 1등인 이유가 있다!교보문고, YES24, 인터파크 영문법 부문 판매 1위! 2007년부터 2021년까지 15년간 총 434만부 판매!!1. 최신 개정 13종 교과서 반영2. 전국 중학교 중간, 기말고사에서 나온 문법 문제를 철저히 분석3. 단답형, 선택형, 문장완성형, 서술형 3000제+중간, 기말고사대비문제 800제4. 한 번에 한 가지 문제해결능력을 완전히 익히고 다음 단계로 넘어가는 PSS(Problem Solving Skill-유형별 문제해결능력) 개념 도입5. 내신만점부터 특목고 진학을 위한 문법 사항 완벽 대비6. Practice 및 중간·기말고사대비문제에 대한 상세하고 친절한 해설 제공7. 필수 문법사항 암기표, 열공 진도표 제공 8. 무료제공: * 영단어·표현 암기장* 단어장 MP3 파일* 모든 영어 예문에 대한 우리말 해석자료 홈페이지 제공 9. EBS 중학프리미엄 최고 인기 교재, 본사 직강 마더텅 중학영문법 3800제 동영상 강의 제공",,학습/참고서,,
"마더텅 수능기출문제집 국어 독서 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729380,〈책의 특장점〉* 총 697문항 수록  - 2013~2022학년도 최신 10개년 수능·모의평가 기출문제 전 문항   - 2022학년도 수능 평가원 예시문항   - 2009~2012학년도 4개년 수능·모의평가 기출문제 고난도 문항* 전 문항 모든 선지의 정·오답 풀이에 명확한 지문 근거 제시* 각 지문별 문제 풀이 시간 제시하여 실제 시험 시간 관리에 완벽 대비,https://bookthumb-phinf.pstatic.net/cover/213/564/21356497.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21356497,"〈지문 해설의 특징〉* 해설에 지문과 문제가 그대로 나오는 첨삭 해설 방식- 해설편에 지문과 문제, 선지를 그대로 제시하고 해설이 필요한 부분에 직접 첨삭하여 편리한 학습 가능* 지문 문장 번호, 문단 번호 표기- 문제풀이 시 지문 내 근거를 찾아보기 쉽도록 지문 전체 내용을 기호화* 지문 내용을 한눈에 요약·정리하는 지문 구조도- 지문의 핵심 내용을 구조화·시각화하여 체계적으로 정리* 지문의 이해를 돕는 풍부한 시각 자료- 지문만으로는 이해가 어려운 과학·기술·예술 영역의 경우, 자세한 그림과 다양한 사진 자료 제시* 지문 속 어휘·어구 풀이- 지문에 등장하는 어려운 어휘나 구절을 쉽게 풀이하여 제시〈문항 및 선지 해설의 특징〉* 유형별 문항 분류- 14개년 전체 기출 문제를 분석해 유형별로 분류 세분화* 첨삭 해설- 자료를 해석해 정답을 도출해야 하는 문항의 해당 보기 자료에 핵심 내용을 첨삭- 각 선지가 왜 정답이고, 왜 오답인지를 명확히 확인할 수 있도록 선지별 첨삭 해설 추가* 문제 유형, 원문항 번호, 정답률 명시- 문항 유형을 분류, 명시하여 각 유형별 출제 방식과 문항 풀이 방법을 익힐 수 있도록 구성- 문제를 잘못 읽어 틀리는 일이 없도록 발문 조건(적절한 것 고르기/적절하지 않은 것 고르기)을 한 번 더 확인하는 훈련- 정답률로 문항 난이도 확인 가능, 응답률 10% 이상의 매력적 오답 표기* 근거, 풀이의 단계적 제시- 각 선지별 지문 내 근거를 명시, 근거를 바탕으로 풀이 과정 제시- 체계적인 근거 찾기 연습을 통해 실전 문제풀이에 대비* 완전한 학습을 위한 다양한 Tip- 지문을 보충 설명하는 참고 자료, 심화 자료, 시각 자료를 팁 코너에 제시* 평가원 이의 신청 답변 수록- 문항 및 정답 이의 신청에 대한 답변 내용을 해당 문항 해설 아래에 제시하여 평가원의 출제 의도를 파악할 수 있도록 구성",,학습/참고서,고등학교,수능문제집
"마더텅 수능기출문제집 국어 문학 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729373,"대학수학능력시험의 완벽한 대비를 위한 기출문제집!풀면 풀수록 국어 문학의 원리가 정리되는 문제집!- 총 679문항, 277개 작품을 6개의 유형별로 배치- 2013~2022학년도 10개년 수능ㆍ모의평가 전 문항 수록 - 2008~2012학년도 5개년 수능ㆍ모의평가 우수 문항 수록- 2022학년도 수능 예시 문항 수록* 지문마다 풀이 시간 제시로 실전 연습 가능* 평가원 이의 신청 답변 수록* 해설에 지문과 문제가 그대로- 해설편에 지문과 문제, 선지를 그대로 제시하고 해설이 필요한 부분에 직접 첨삭하여 편리한 학습 가능* 지문 내용을 한눈에 요약ㆍ정리하는 모식도- 지문의 핵심 내용을 구조화·시각화하여 체계적으로 정리- 시는 ‘지문 이해도’, 소설은 ‘인물 관계도’를 통해 내용 이해에 도움* 지문 및 선지 어휘ㆍ어구 풀이- 성의 없는 사전적 뜻풀이가 아닌 문맥에 맞는 쉬운 어휘 풀이* 모든 소설과 극에 전체 줄거리 제시- 제시된 지문만이 아니라 작품 전체에 대한 배경 지식 쌓기에 도움* 선지의 문학 개념 정리 및 관련 작품 제시- 선지의 문학 개념과 관련된 작품을 기출 작품 우선으로 제시- 선지의 정답/오답을 판단하는 데 필요한 문학 개념들을 체계적으로 정리하기 위한 구체적인 예시 제시* 문제유형, 원문항 번호, 정답률 명시- 문제의 정답률로 문항 난이도 확인 가능- 오답률이 높았던 문항은 매력적 오답까지 표기- 문제를 잘못 읽어 틀리는 일이 없도록 발문 조건(맞는 것/틀린 것 고르기)을 한 번 더 확인하는 훈련* 선지 해설에 필요한 명확한 지문의 근거를 제시- 선택지가 정답/오답이 되는 지문 내 근거를 콕 집어 직접 제시- 체계적인 근거 찾기 연습을 통해 실전에 대비* 오답 선지의 틀린 부분을 한눈에 볼 수 있는 선지 첨삭- 오답 선지의 틀린 부분을 선지에 직접 OX 표시- 선지의 어느 부분이 잘못된 설명인지 한눈에 확인 가능",https://bookthumb-phinf.pstatic.net/cover/213/544/21354423.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21354423,"대학수학능력시험의 완벽한 대비를 위한 기출문제집!풀면 풀수록 국어 문학의 원리가 정리되는 문제집!- 총 679문항, 277개 작품을 6개의 유형별로 배치- 2013~2022학년도 10개년 수능·모의평가 전 문항 수록 - 2008~2012학년도 5개년 수능·모의평가 우수 문항 수록- 2022학년도 수능 예시 문항 수록* 지문마다 풀이 시간 제시로 실전 연습 가능* 평가원 이의 신청 답변 수록* 해설에 지문과 문제가 그대로- 해설편에 지문과 문제, 선지를 그대로 제시하고 해설이 필요한 부분에 직접 첨삭하여 편리한 학습 가능* 지문 내용을 한눈에 요약·정리하는 모식도- 지문의 핵심 내용을 구조화·시각화하여 체계적으로 정리- 시는 ‘지문 이해도’, 소설은 ‘인물 관계도’를 통해 내용 이해에 도움* 지문 및 선지 어휘·어구 풀이- 성의 없는 사전적 뜻풀이가 아닌 문맥에 맞는 쉬운 어휘 풀이* 모든 소설과 극에 전체 줄거리 제시- 제시된 지문만이 아니라 작품 전체에 대한 배경 지식 쌓기에 도움* 선지의 문학 개념 정리 및 관련 작품 제시- 선지의 문학 개념과 관련된 작품을 기출 작품 우선으로 제시- 선지의 정답/오답을 판단하는 데 필요한 문학 개념들을 체계적으로 정리하기 위한 구체적인 예시 제시* 문제유형, 원문항 번호, 정답률 명시- 문제의 정답률로 문항 난이도 확인 가능- 오답률이 높았던 문항은 매력적 오답까지 표기- 문제를 잘못 읽어 틀리는 일이 없도록 발문 조건(맞는 것/틀린 것 고르기)을 한 번 더 확인하는 훈련* 선지 해설에 필요한 명확한 지문의 근거를 제시- 선택지가 정답/오답이 되는 지문 내 근거를 콕 집어 직접 제시- 체계적인 근거 찾기 연습을 통해 실전에 대비* 오답 선지의 틀린 부분을 한눈에 볼 수 있는 선지 첨삭- 오답 선지의 틀린 부분을 선지에 직접 OX 표시- 선지의 어느 부분이 잘못된 설명인지 한눈에 확인 가능",,학습/참고서,고등학교,수능문제집
"중학영문법 3800제 3학년 (2022,새 교과서에 맞춘 12차 개정판)",마더텅 편집부,마더텅,9791162728697,"1등은 1등인 이유가 있다!2007년부터 2021년까지 15년간 총 434만부 판매!!1. 최신 개정 13종 교과서 반영2. 전국 중학교 중간, 기말고사에서 나온 문법 문제를 철저히 분석3. 단답형, 선택형, 문장완성형, 서술형 3000제+중간, 기말고사대비문제 800제4. 한 번에 한 가지 문제해결능력을 완전히 익히고 다음 단계로 넘어가는 PSS(PROBLEM SOLVING SKILL-유형별 문제해결능력) 개념 도입5. 내신만점부터 특목고 진학을 위한 문법 사항 완벽 대비6. PRACTICE 및 중간·기말고사대비문제에 대한 상세하고 친절한 해설 제공7. 필수 문법사항 암기표, 열공 진도표 제공 8. 무료제공: * 영단어·표현 암기장* 단어장 MP3 파일* 모든 영어 예문에 대한 우리말 해석자료 홈페이지 제공 9. EBS 중학프리미엄 최고 인기 교재, 본사 직강 마더텅 중학영문법 3800제 동영상 강의 제공",https://bookthumb-phinf.pstatic.net/cover/209/415/20941553.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20941553,"1등은 1등인 이유가 있다!교보문고, YES24, 인터파크 영문법 부문 판매 1위! 2007년부터 2021년까지 15년간 총 434만부 판매!!1. 최신 개정 13종 교과서 반영2. 전국 중학교 중간, 기말고사에서 나온 문법 문제를 철저히 분석3. 단답형, 선택형, 문장완성형, 서술형 3000제+중간, 기말고사대비문제 800제4. 한 번에 한 가지 문제해결능력을 완전히 익히고 다음 단계로 넘어가는 PSS(Problem Solving Skill-유형별 문제해결능력) 개념 도입5. 내신만점부터 특목고 진학을 위한 문법 사항 완벽 대비6. Practice 및 중간·기말고사대비문제에 대한 상세하고 친절한 해설 제공7. 필수 문법사항 암기표, 열공 진도표 제공 8. 무료제공: * 영단어·표현 암기장* 단어장 MP3 파일* 모든 영어 예문에 대한 우리말 해석자료 홈페이지 제공 9. EBS 중학프리미엄 최고 인기 교재, 본사 직강 마더텅 중학영문법 3800제 동영상 강의 제공",,학습/참고서,,
"마더텅 수능기출문제집 고등 사회·문화 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729564,"〈 책의 특장점 〉2023 수능대비 마더텅 수능기출문제집 사회 · 문화는 총 876문항을 5개의 단원으로 나누어 수록하였습니다.ㆍ 2020~2021년 시행된 수능·모의평가·학력평가 기출문제 전 문항 수록(280문항)ㆍ 2013~2019년 시행된 수능·모의평가·학력평가 기출문제 중 우수 문항 선별 수록(596문항)ㆍ 사회 · 문화 1등급을 위한 〈도표 분석 특강〉 & 〈기출 OX 604제〉 특별 부록 수록ㆍ 현직 교사의 감수를 통해 15개정 교육과정에 최적화된 문항 선별ㆍ 개념 설명 + 선별 문항 문제 풀이 동영상 무료 강의ㆍ 수능에 꼭 나오는 단원별, 소주제별 필수 개념 및 암기사항 정리  사회 · 문화 개념을 쉽게 외울 수 있는 암기팁 수록!ㆍ 단원별, 소주제별 기출문제 수록으로 취약 단원 · 소주제 파악하여 집중 학습 가능!ㆍ 대한민국 최초! 전 문항, 모든 선지에 100% 첨삭해설, 풀이해설 수록  정답 근거뿐만 아니라 오답 근거까지 철저한 분석!ㆍ 2020~2022학년도 3개년 수능 · 모의평가 9회분 연도별 추가 수록  회차별 출제 경향 분석 및 등급컷 제공",https://bookthumb-phinf.pstatic.net/cover/213/594/21359460.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21359460,"2023 수능대비 마더텅 수능기출문제집 사회 · 문화는 총 876문항을 5개의 단원으로 나누어 수록하였습니다.- 2020~2021년 시행된 수능·모의평가·학력평가 기출문제 전 문항 수록(280문항)- 2013~2019년 시행된 수능·모의평가·학력평가 기출문제 중 우수 문항 선별 수록(596문항)- 사회 · 문화 1등급을 위한 〈도표 분석 특강〉 & 〈기출 OX 604제〉 특별 부록 수록- 현직 교사의 감수를 통해 15개정 교육과정에 최적화된 문항 선별- 개념 설명 + 선별 문항 문제 풀이 동영상 무료 강의- 수능에 꼭 나오는 단원별, 소주제별 필수 개념 및 암기사항 정리  사회 · 문화 개념을 쉽게 외울 수 있는 암기팁 수록!- 단원별, 소주제별 기출문제 수록으로 취약 단원 · 소주제 파악하여 집중 학습 가능!- 대한민국 최초! 전 문항, 모든 선지에 100% 첨삭해설, 풀이해설 수록  정답 근거뿐만 아니라 오답 근거까지 철저한 분석!- 2020~2022학년도 3개년 수능 · 모의평가 9회분 연도별 추가 수록  회차별 출제 경향 분석 및 등급컷 제공",,학습/참고서,고등학교,수능문제집
"마더텅 수능기출문제집 고등 생활과 윤리 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729557,"〈 책의 특장점 〉2023 수능대비 마더텅 수능기출문제집 생활과 윤리는 총 872문항을 6개의 단원으로 나누어 수록하였습니다.ㆍ 2020~2021년 시행된 수능 · 모의평가 · 학력평가 기출문제 전 문항 수록(280문항)ㆍ 2013~2019년 시행된 수능 · 모의평가 · 학력평가 기출문제 선별 수록(575문항)ㆍ 15 개정 교육과정에 맞는 윤리와 사상 문항 선별 수록(17문항)ㆍ 현직 교사의 감수를 통해 15 개정 교육과정에 최적화된 문항 선별ㆍ 개념 설명 + 선별 문항 문제 풀이 동영상 무료 강의ㆍ 수능에 꼭 나오는 단원별, 소주제별 필수 개념 및 암기사항 정리  생활과 윤리 개념을 쉽게 외울 수 있는 암기팀 수록!ㆍ 단원별, 소주제별 기출문제 수록으로 취약 단원 · 소주제 파악하여 집중 학습 가능!ㆍ 대한민국 최초! 전문항, 모든 선지에 100% 첨삭해설, 풀이해설수록  정답 근거뿐만 아니라 오답 근거까지 철저히 분석!ㆍ 2020~2022학년도 3개년 수능 · 모의평가 9회분 연도별 추가 수록  회차별 출제 경향 분석 및 등급컷 제공ㆍ 핵심 개념과 출제 빈도가 높은 기출 선지만을 모은 특급 부록 수록!",https://bookthumb-phinf.pstatic.net/cover/213/594/21359446.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21359446,"2023 수능대비 마더텅 수능기출문제집 생활과 윤리는 총 872문항을 6개의 단원으로 나누어 수록하였습니다.- 2020~2021년 시행된 수능 · 모의평가 · 학력평가 기출문제 전 문항 수록(280문항)- 2013~2019년 시행된 수능 · 모의평가 · 학력평가 기출문제 선별 수록(575문항)- 15 개정 교육과정에 맞는 윤리와 사상 문항 선별 수록(17문항)- 현직 교사의 감수를 통해 15 개정 교육과정에 최적화된 문항 선별- 개념 설명 + 선별 문항 문제 풀이 동영상 무료 강의- 수능에 꼭 나오는 단원별, 소주제별 필수 개념 및 암기사항 정리  생활과 윤리 개념을 쉽게 외울 수 있는 암기팀 수록!- 단원별, 소주제별 기출문제 수록으로 취약 단원 · 소주제 파악하여 집중 학습 가능!- 대한민국 최초! 전문항, 모든 선지에 100% 첨삭해설, 풀이해설수록  정답 근거뿐만 아니라 오답 근거까지 철저히 분석!- 2020~2022학년도 3개년 수능 · 모의평가 9회분 연도별 추가 수록  회차별 출제 경향 분석 및 등급컷 제공- 핵심 개념과 출제 빈도가 높은 기출 선지만을 모은 특급 부록 수록!",,학습/참고서,고등학교,수능문제집
"마더텅 수능기출문제집 영어 독해 (2022,2023 대비)",마더텅 편집부,마더텅,9791162729465,"〈 책의 특장점 〉누적 판매 607만 부, 2021년 한 해 97만 부가 판매된 베스트셀러 기출문제집 시리즈!수능·모의평가·학력평가에 자주 출제되는 유형을 철저히 분석하여 적용한 유형별 기출문제집!총 645문항, 최신 6개년, 2022 교육과정에 맞는 영어 독해 유형 수록!1. 2020~2022학년도 최신 3개년 수능·모의평가 전 문항  + 2017~2022학년도(2016~2021년 시행) 6개년 수능·모의평가·학력평가 우수 문항  + 최신 3개년(2019~2021년 시행) 경찰대·사관학교 기출문제 우수 문항  → 총 645문항2. 2022 적용 교육과정에 맞는 영어 독해 유형 수록3. 수능·모의평가·학력평가 실전 대비를 위한 20분 미니모의고사 3회분 수록4. [특별 무료 제공]  ① 유형별 TIP 강의 및 전 문항 문제풀이 동영상 강의 → (2022.2.28. 업로드 완료 예정)  ② 교육부 선정 필수 암기 어휘 2200개와 교재에서 배운 어휘를 수록한 〈WORD BOOK〉, 단어시험지 한글(HWP)파일5. 영어 1등급, 30일 완성을 위한 ① 학습계획표 ② 문제풀이 제한시간 ③ DAY 인덱스6. 직독직해 훈련을 위한 끊어읽기 해설7. 지문의 이해를 돕는 친절한 첨삭 해설 및 사진8. 상세하고 자세한 어휘 및 어법 풀이",https://bookthumb-phinf.pstatic.net/cover/213/563/21356321.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21356321,"1. 2020~2022학년도 최신 3개년 수능·모의평가 전 문항  + 2017~2022학년도(2016~2021년 시행) 6개년 수능·모의평가·학력평가 우수 문항  + 최신 3개년(2019~2021년 시행) 경찰대·사관학교 기출문제 우수 문항  → 총 645문항2. 2022 적용 교육과정에 맞는 영어 독해 유형 수록3. 수능·모의평가·학력평가 실전 대비를 위한 20분 미니모의고사 3회분 수록4. [특별 무료 제공]  ① 유형별 tip 강의 및 전 문항 문제풀이 동영상 강의 → (2022.2.28. 업로드 완료 예정)  ② 교육부 선정 필수 암기 어휘 2200개와 교재에서 배운 어휘를 수록한 〈WORD BOOK〉, 단어시험지 한글(HWP)파일5. 영어 1등급, 30일 완성을 위한 ① 학습계획표 ② 문제풀이 제한시간 ③ DAY 인덱스6. 직독직해 훈련을 위한 끊어읽기 해설7. 지문의 이해를 돕는 친절한 첨삭 해설 및 사진8. 상세하고 자세한 어휘 및 어법 풀이",,학습/참고서,고등학교,수능문제집
"마더텅 수능기출문제집 생명과학1 (2023 수능대비,2022)",마더텅 편집부,마더텅,9791162729632,"〈 책의 특장점 〉2023 수능(2022.11.17.시행) 적용 새 교육과정 반영! 2015~2022학년도(2014~2021년 시행) 수능·모의평가·학력평가 기출문제 중새 교육과정에 맞는 우수 문항 + 새 교육과정을 반영한 연도별 모의고사 9회분 수록 [특별 무료 제공] 더 자세한 해설+Α, 기출 OX 522제개념 설명 + 전 문항 문제 풀이 동영상 강의〈 해설의 특징 〉수능에 꼭 나오는 단원별, 소주제별 필수 개념 및 암기사항 정리 / 대한민국 최초! 전 문항, 모든 선지에 100% 첨삭해설 수록 〈해설 추가 부록 : 더 자세한 해설+Α〉이보다 더 자세할 수는 없다! 최신 7개년 학력평가, 모의평가, 수능 문항 중 고난도 28문항을 선별!고난도 28문항 : 기존 마더텅 해설 + 〈더 자세한 해설 + Α〉 까지 추가 제공!마더텅 〈더 자세한 해설 + Α〉로 공부하고 수능에서 1등급으로 도약하기!〈정답과 해설〉에는 최신 7개년 학력평가, 모의평가, 수능에 출제된 문항 중에서 체감난도가 높은 고난도 28문항의 자세한 해설이 수록되어 있습니다. 현직 교사의 감수로 수능 고득점을 위해 꼭 풀어봐야 하는 문항을 선별하여 부록을 구성하였습니다. 어려워서 포기한 1등급, 고난도 문항의 풀이 비결을 〈마더텅 자세한 해설 + Α〉에서 알려드립니다![기출 핵심 ○× 522제] 기출 복습을 위한 최고의 선택!자주 출제되는 선지 ○×, 단답형 퀴즈 522 문항!수능에 자주 나오는 보기 철저 분석!수능 빈출 자료로 수능 완벽 대비!짧은 시간에 수능에 필요한 핵심만 쏙쏙!",https://bookthumb-phinf.pstatic.net/cover/213/544/21354428.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21354428,"수능에 꼭 나오는 단원별, 소주제별 필수 개념 및 암기사항 정리 / 대한민국 최초! 전 문항, 모든 선지에 100% 첨삭해설 수록 〈해설 추가 부록 : 더 자세한 해설+α〉이보다 더 자세할 수는 없다! 최신 7개년 학력평가, 모의평가, 수능 문항 중 고난도 28문항을 선별!고난도 28문항 : 기존 마더텅 해설 + 〈더 자세한 해설 + α〉 까지 추가 제공!마더텅 〈더 자세한 해설 + α〉로 공부하고 수능에서 1등급으로 도약하기!〈정답과 해설〉에는 최신 7개년 학력평가, 모의평가, 수능에 출제된 문항 중에서 체감난도가 높은 고난도 28문항의 자세한 해설이 수록되어 있습니다. 현직 교사의 감수로 수능 고득점을 위해 꼭 풀어봐야 하는 문항을 선별하여 부록을 구성하였습니다. 어려워서 포기한 1등급, 고난도 문항의 풀이 비결을 〈마더텅 자세한 해설 + α〉에서 알려드립니다![기출 핵심 ○× 522제] 기출 복습을 위한 최고의 선택!자주 출제되는 선지 ○×, 단답형 퀴즈 522 문항!수능에 자주 나오는 보기 철저 분석!수능 빈출 자료로 수능 완벽 대비!짧은 시간에 수능에 필요한 핵심만 쏙쏙!",,학습/참고서,고등학교,수능문제집
마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 1학년 (2022),마더텅 편집부,마더텅,9791162728598,"듣기부문 최강교재!!중학영어듣기 부문 국내 주요서점 최다 판매!최신개정판 2021년까지의 총 판매량 214만 권!1. 2021년까지의 누적판매량 총 214만 권!2. 전국 16개 시·도 교육청 공동 주관 중학영어듣기 능력 평가 완벽 반영, 서울시 중학영어듣기 문제 반영3. 실제 시험과 동일한 속도, 1.25배 빠른 속도, 1.5배 빠른 속도의 3가지 MP3 파일 제공!4. 회별 QR코드를 통해 스마트 기기로 빠르고 편리한 음원 재생 가능5. 영국 성우 녹음이 포함되어 미국식, 영국식 영어 발음을 동시에 학습6. 실제 시험 만점을 위한 고난도 문제 수록! 7. 보다 친절하고 상세해진 정답 및 해설(문제별 영어 듣기대본 & LISTENING ADVICE 추가제공)8. 받아쓰기(DICTATION)로 복습 완성! 영어듣기 실력 UP!9. 한 학년 높은 수준의 고난도 1회분(24회) 수록10. 무료제공  ① 회별 MP3 (실제시험속도) ② 회별 빠른 녹음 MP3 (일상회화속도)③ 회별 1.5배 빠른 속도 MP3 ④ 문제별 MP3 ⑤ 단어 MP3 ⑥ 단어장 및 단어 테스트",https://bookthumb-phinf.pstatic.net/cover/211/060/21106064.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21106064,"듣기부문 최강교재!!중학영어듣기 부문 국내 주요서점 최다 판매!최신개정판 2021년까지의 총 판매량 214만 권!1. 2021년까지의 누적판매량 총 214만 권!2. 전국 16개 시·도 교육청 공동 주관 중학영어듣기 능력 평가 완벽 반영, 서울시 중학영어듣기 문제 반영3. 실제 시험과 동일한 속도, 1.25배 빠른 속도, 1.5배 빠른 속도의 3가지 MP3 파일 제공!4. 회별 QR코드를 통해 스마트 기기로 빠르고 편리한 음원 재생 가능5. 영국 성우 녹음이 포함되어 미국식, 영국식 영어 발음을 동시에 학습6. 실제 시험 만점을 위한 고난도 문제 수록! 7. 보다 친절하고 상세해진 정답 및 해설(문제별 영어 듣기대본 & LISTENING ADVICE 추가제공)8. 받아쓰기(Dictation)로 복습 완성! 영어듣기 실력 Up!9. 한 학년 높은 수준의 고난도 1회분(24회) 수록10. 무료제공  ① 회별 MP3 (실제시험속도) ② 회별 빠른 녹음 MP3 (일상회화속도)③ 회별 1.5배 빠른 속도 MP3 ④ 문제별 MP3 ⑤ 단어 MP3 ⑥ 단어장 및 단어 테스트",,학습/참고서,,
